iter	Passed	Remaining
1549	29245	27358
1550	29263	27338
1551	29281	27319
1552	29300	27300
1553	29319	27281
1554	29338	27262
1555	29357	27244
1556	29375	27224
1557	29393	27205
1558	29412	27186
1559	29431	27167
1560	29450	27148
1561	29469	27129
1562	29487	27109
1563	29505	27090
1564	29524	27071
1565	29543	27052
1566	29560	27032
1567	29579	27014
1568	29598	26995
1569	29617	26976
1570	29634	26956
1571	29653	26936
1572	29672	26918
1573	29690	26899
1574	29708	26879
1575	29726	26859
1576	29744	26839
1577	29761	26819
1578	29781	26801
1579	29799	26781
1580	29818	26763
1581	29837	26744
1582	29855	26724
1583	29873	26705
1584	29892	26686
1585	29910	26667
1586	29929	26647
1587	29948	26629
1588	29966	26609
1589	29985	26590
1590	30004	26572
1591	30023	26553
1592	30041	26533
1593	30059	26514
1594	30078	26495
1595	30097	26476
1596	30116	26457
1597	30134	26438
1598	30153	26419
1599	30173	26401
1600	30191	26382
1601	30210	26363
1602	30228	26344
1603	30248	26325
1604	30266	26306
1605	30285	26287
1606	30303	26268
1607	30322	26249
1608	30339	26229
1609	30358	26209
1610	30375	26190
1611	30394	26171
1612	30415	26153
1613	30433	26134
1614	30451	26115
1615	30469	26095
1616	30488	26076
1617	30506	26057
1618	30525	26038
1619	30544	26019
1620	30563	26000
1621	30582	25982
1622	30601	25963
1623	30620	25944
1624	30639	25925
1625	30657	25906
1626	30676	25887
1627	30695	25868
1628	30714	25849
1629	30732	25830
1630	30751	25811
1631	30769	25792
1632	30788	25773
1633	30807	25754
1634	30825	25735
1635	30844	25715
1636	30862	25696
1637	30880	25677
1638	30899	25658
1639	30918	25639
1640	30937	25621
1641	30956	25602
1642	30977	25585
1643	30997	25566
1644	31017	25549
1645	31037	25531
1646	31055	25511
1647	31073	25492
1648	31092	25474
1649	31111	25454
1650	31129	25435
1651	31149	25417
1652	31172	25401
1653	31189	25381
1654	31207	25362
1655	31226	25343
1656	31244	25323
1657	31263	25304
1658	31283	25286
1659	31302	25267
1660	31320	25248
1661	31339	25229
